""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm"	"extra"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"
"role"	""	""	""	"tissue"	"background"	"cell_biomarker"	"background"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO terms"	"cell type extra details"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Safety and immunogenicity of the recombinant BCG vaccine VPM1002 in a phase 1 open-label randomized clinical trial."	"ID of observation within its submission"	"Uniq ID of observation within submission type"
""	"20191106-hipciof_ctf_23290835"	"2019.11.06"	"hipciof_ctf_13"	"peripheral blood mononuclear cell"	"IFN-y+ CD4 T cells"	"CD4-positive, alpha-beta T cell"	"IFNG+"	""	"cell type frequency"	"up"	"none"	"29"	"Days"	"Mycobacterium bovis BCG"	""	"VPM1002"	"VO_0003131"	""	"29d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"23290835"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23290835"	"1"	"54"
""	"20191106-hipciof_ctf_23290835"	"2019.11.06"	"hipciof_ctf_13"	"peripheral blood mononuclear cell"	"IFN-y+ CD4 T cells"	"CD4-positive, alpha-beta T cell"	"IFNG+"	""	"cell type frequency"	"up"	"none"	"57"	"Days"	"Mycobacterium bovis BCG"	""	"BCG vaccine; VPM1002"	"VO_0000771"	""	"57d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"23290835"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23290835"	"2"	"55"
""	"20191106-hipciof_ctf_23290835"	"2019.11.06"	"hipciof_ctf_13"	"peripheral blood mononuclear cell"	"IFN-y+ CD4 T cells"	"CD4-positive, alpha-beta T cell"	"IFNG+"	""	"cell type frequency"	"up"	"none"	"57"	"Days"	"Mycobacterium bovis BCG"	""	"BCG vaccine; VPM1002"	"VO_0003131"	""	"57d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"23290835"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23290835"	"2"	"55"
""	"20191106-hipciof_ctf_23290835"	"2019.11.06"	"hipciof_ctf_13"	"peripheral blood mononuclear cell"	"triple-positive (IFN-gamma TNF-a IL-2) CD4 T cells"	"CD4-positive, alpha-beta T cell"	"IFNG+, TNF-a+, IL-2+"	""	"cell type frequency"	"up"	"none"	"29"	"Days"	"Mycobacterium bovis BCG"	""	"BCG vaccine; VPM1002"	"VO_0000771"	""	"VPM1002-3 vs BCG vaccine"	"time of vaccination (first dose)"	"adults (18-55)"	"23290835"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23290835"	"3"	"56"
""	"20191106-hipciof_ctf_23290835"	"2019.11.06"	"hipciof_ctf_13"	"peripheral blood mononuclear cell"	"triple-positive (IFN-gamma TNF-a IL-2) CD4 T cells"	"CD4-positive, alpha-beta T cell"	"IFNG+, TNF-a+, IL-2+"	""	"cell type frequency"	"up"	"none"	"29"	"Days"	"Mycobacterium bovis BCG"	""	"BCG vaccine; VPM1002"	"VO_0003131"	""	"VPM1002-3 vs BCG vaccine"	"time of vaccination (first dose)"	"adults (18-55)"	"23290835"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23290835"	"3"	"56"
