""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"
"subject"	""	""	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"
"role"	""	""	""	"tissue"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (cell subset)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"publication url"
""	"20181206-hipciof_ctf_21743478"	"2018.12.06"	"hipciof_ctf_22"	"peripheral blood mononuclear cell"	"influenza-specific IgG secreting plasmablasts"	"Cell type frequency"	"positive"	"none"	"7"	"Days"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	"VO_0000045"	""	"associated with 28d HAI response"	"time of vaccination (first dose)"	"young adults (18-50yrs)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"
""	"20181206-hipciof_ctf_21743478"	"2018.12.06"	"hipciof_ctf_22"	"peripheral blood mononuclear cell"	"influenza-specific IgG secreting plasmablasts"	"Cell type frequency"	"positive"	"none"	"7"	"Days"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	"VO_0000046"	""	"associated with 28d HAI response"	"time of vaccination (first dose)"	"young adults (18-50yrs)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"
""	"20181206-hipciof_ctf_21743478"	"2018.12.06"	"hipciof_ctf_22"	"peripheral blood mononuclear cell"	"influenza-specific IgG secreting plasmablasts"	"Cell type frequency"	"positive"	"none"	"7"	"Days"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	"VO_0000045"	""	"associated with 28d HAI response"	"time of vaccination (first dose)"	"young adults (18-50yrs)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"
""	"20181206-hipciof_ctf_21743478"	"2018.12.06"	"hipciof_ctf_22"	"peripheral blood mononuclear cell"	"influenza-specific IgG secreting plasmablasts"	"Cell type frequency"	"positive"	"none"	"7"	"Days"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	"VO_0000046"	""	"associated with 28d HAI response"	"time of vaccination (first dose)"	"young adults (18-50yrs)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"
