""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_original"	"response_agent"	"proterm_and_extra"	"fully_qualified_response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO and extra terms"	"all response agents in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Weinberg et al. (2017) Varicella-Zoster Virus-Specific Cellular Immune Responses to the Live Attenuated Zoster Vaccine in Young and Older Adults. J. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28607114' target='_blank'>28607114</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"signature response agents file"
""	"20170928-hipciof_ctf_28607114"	"2017.09.28"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	"& VZV-specific"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"cell type frequency"	"up"	"none"	"30"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"30d-0d"	"time of vaccination (first dose)"	"young adults (25-40)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"1"	"147"	"hipciof_ctf_28607114_147.txt"
""	"20170928-hipciof_ctf_28607114"	"2017.09.28"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	"& VZV-specific"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"cell type frequency"	"up"	"none"	"30"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"30d-0d"	"time of vaccination (first dose)"	"old adults (60-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"2"	"148"	"hipciof_ctf_28607114_148.txt"
""	"20170928-hipciof_ctf_28607114"	"2017.09.28"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	"& VZV-specific"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"cell type frequency"	"up"	"none"	"90"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"90d-0d"	"time of vaccination (first dose)"	"young adults (25-40)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"3"	"149"	"hipciof_ctf_28607114_149.txt"
""	"20170928-hipciof_ctf_28607114"	"2017.09.28"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	"& VZV-specific"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"cell type frequency"	"up"	"none"	"90"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"90d-0d"	"time of vaccination (first dose)"	"old adults (60-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"4"	"150"	"hipciof_ctf_28607114_150.txt"
""	"20170928-hipciof_ctf_28607114"	"2017.09.28"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	"& VZV-specific"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"cell type frequency"	"down"	"none"	"180"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"180d-90d"	"time of vaccination (first dose)"	"young adults (25-40)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"5"	"151"	"hipciof_ctf_28607114_151.txt"
""	"20170928-hipciof_ctf_28607114"	"2017.09.28"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	"& VZV-specific"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"cell type frequency"	"up"	"none"	"180"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"180d-90d"	"time of vaccination (first dose)"	"old adults (60-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"6"	"152"	"hipciof_ctf_28607114_152.txt"
""	"20170928-hipciof_ctf_28607114"	"2017.09.28"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	"& VZV-specific"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"cell type frequency"	"down"	"none"	"180"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"young adults vs old adults"	"time of vaccination (first dose)"	"adults (25-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults, seniors"	"25"	"80"	"years"	"7"	"153"	"hipciof_ctf_28607114_153.txt"
""	"20170928-hipciof_ctf_28607114"	"2017.09.28"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+IL2+Bcl2+"	"CD4-positive, alpha-beta memory T cell"	"& IL2+, Bcl2+, VZV-specific"	"CD4-positive, alpha-beta memory T cell & IL2+, Bcl2+, VZV-specific"	"cell type frequency"	"up"	"none"	"90"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"90d-0d"	"time of vaccination (first dose)"	"young adults (25-40)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"8"	"154"	"hipciof_ctf_28607114_154.txt"
""	"20170928-hipciof_ctf_28607114"	"2017.09.28"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+IL2+Bcl2+"	"CD4-positive, alpha-beta memory T cell"	"& IL2+, Bcl2+, VZV-specific"	"CD4-positive, alpha-beta memory T cell & IL2+, Bcl2+, VZV-specific"	"cell type frequency"	"up"	"none"	"90"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"90d-0d"	"time of vaccination (first dose)"	"old adults (60-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"9"	"155"	"hipciof_ctf_28607114_155.txt"
""	"20170928-hipciof_ctf_28607114"	"2017.09.28"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+IL2+Bcl2+"	"CD4-positive, alpha-beta memory T cell"	"& IL2+, Bcl2+, VZV-specific"	"CD4-positive, alpha-beta memory T cell & IL2+, Bcl2+, VZV-specific"	"cell type frequency"	"down"	"none"	"180"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"180d-90d"	"time of vaccination (first dose)"	"young adults (25-40)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"10"	"156"	"hipciof_ctf_28607114_156.txt"
""	"20170928-hipciof_ctf_28607114"	"2017.09.28"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+IL2+Bcl2+"	"CD4-positive, alpha-beta memory T cell"	"& IL2+, Bcl2+, VZV-specific"	"CD4-positive, alpha-beta memory T cell & IL2+, Bcl2+, VZV-specific"	"cell type frequency"	"up"	"none"	"180"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"180d-90d"	"time of vaccination (first dose)"	"old adults (60-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"11"	"157"	"hipciof_ctf_28607114_157.txt"
""	"20170928-hipciof_ctf_28607114"	"2017.09.28"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+IL2+Bcl2+"	"CD4-positive, alpha-beta memory T cell"	"& IL2+, Bcl2+, VZV-specific"	"CD4-positive, alpha-beta memory T cell & IL2+, Bcl2+, VZV-specific"	"cell type frequency"	"down"	"none"	"180"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"young adults vs old adults"	"time of vaccination (first dose)"	"adults (25-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults, seniors"	"25"	"80"	"years"	"12"	"158"	"hipciof_ctf_28607114_158.txt"
""	"20170928-hipciof_ctf_28607114"	"2017.09.28"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"T cells Dual-function VZV-specific CD4+"	"CD4-positive, alpha-beta T cell"	"& dual-function, VZV-specific"	"CD4-positive, alpha-beta T cell & dual-function, VZV-specific"	"cell type frequency"	"up"	"none"	"7"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"7d-0d"	"time of vaccination (first dose)"	"young adults (25-40)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"13"	"159"	"hipciof_ctf_28607114_159.txt"
""	"20170928-hipciof_ctf_28607114"	"2017.09.28"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"T cells Dual-function VZV-specific CD8+"	"CD8-positive, alpha-beta T cell"	"& dual-function, VZV-specific"	"CD8-positive, alpha-beta T cell & dual-function, VZV-specific"	"cell type frequency"	"up"	"none"	"7"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"7d-0d"	"time of vaccination (first dose)"	"young adults (25-40)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"14"	"160"	"hipciof_ctf_28607114_160.txt"
""	"20170928-hipciof_ctf_28607114"	"2017.09.28"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"T cells Single-function VZV-specific CD8+"	"CD8-positive, alpha-beta T cell"	"& single-function, VZV-specific"	"CD8-positive, alpha-beta T cell & single-function, VZV-specific"	"cell type frequency"	"down"	"none"	"30"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"30d-0d"	"time of vaccination (first dose)"	"old adults (60-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"15"	"161"	"hipciof_ctf_28607114_161.txt"
""	"20170928-hipciof_ctf_28607114"	"2017.09.28"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"VZV-specific CD8+CD69+CD57+ cells"	"CD8-positive, alpha-beta T cell"	"& CD69+, VZV-specific, CD57+"	"CD8-positive, alpha-beta T cell & CD69+, VZV-specific, CD57+"	"cell type frequency"	"up"	"none"	"0"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"old adults vs young adults"	"time of vaccination (first dose)"	"adults (25-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults, seniors"	"25"	"80"	"years"	"16"	"162"	"hipciof_ctf_28607114_162.txt"
""	"20170928-hipciof_ctf_28607114"	"2017.09.28"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"VZV-specific CD8+CD69+PD1+ cells"	"CD8-positive, alpha-beta T cell"	"& CD69+, PD-1+, VZV-specific"	"CD8-positive, alpha-beta T cell & CD69+, PD-1+, VZV-specific"	"cell type frequency"	"up"	"none"	"0"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"old adults vs young adults"	"time of vaccination (first dose)"	"adults (25-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults, seniors"	"25"	"80"	"years"	"17"	"163"	"hipciof_ctf_28607114_163.txt"
""	"20170928-hipciof_ctf_28607114"	"2017.09.28"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"VZV-specific CD8+CD69+CD57+ cells"	"CD8-positive, alpha-beta T cell"	"& CD69+, VZV-specific, CD57+"	"CD8-positive, alpha-beta T cell & CD69+, VZV-specific, CD57+"	"cell type frequency"	"up"	"none"	"7"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"old adults vs young adults"	"time of vaccination (first dose)"	"adults (25-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults, seniors"	"25"	"80"	"years"	"18"	"164"	"hipciof_ctf_28607114_164.txt"
