""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm"	"extra"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"
"role"	""	""	""	"tissue"	"background"	"cell_biomarker"	"background"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO terms"	"cell type extra details"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Innate gene signature distinguishes humoral versus cytotoxic responses to influenza vaccination."	"ID of observation within its submission"	"Uniq ID of observation within submission type"
""	"20191106-hipciof_ctf_30843873"	"2019.11.06"	"hipciof_ctf_28"	"serum"	"T cells TIV-specific CD8+ granzyme B+"	"CD8-positive, alpha-beta T cell"	"granzyme B+"	"TIV-specific"	"cell type frequency"	"up"	"Subjects 2"	"21"	"days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"21d-0d"	"Time of vaccination (first dose)"	"Adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"1"	"135"
""	"20191106-hipciof_ctf_30843873"	"2019.11.06"	"hipciof_ctf_28"	"serum"	"T cells TIV-specific CD8+ granzyme B+"	"CD8-positive, alpha-beta T cell"	"granzyme B+"	"TIV-specific"	"cell type frequency"	"up"	"Subjects 2"	"21"	"days"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"21d-0d"	"Time of vaccination (first dose)"	"Adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"1"	"135"
""	"20191106-hipciof_ctf_30843873"	"2019.11.06"	"hipciof_ctf_28"	"serum"	"T cells TIV-specific CD8+ granzyme B+"	"CD8-positive, alpha-beta T cell"	"granzyme B+"	"TIV-specific"	"cell type frequency"	"up"	"Subjects 2"	"21"	"days"	"Influenza B virus"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"21d-0d"	"Time of vaccination (first dose)"	"Adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"1"	"135"
""	"20191106-hipciof_ctf_30843873"	"2019.11.06"	"hipciof_ctf_28"	"serum"	"T cell responder TIV-specific CD8+ GRZ+"	"CD8-positive, alpha-beta T cell"	"GZMB+"	"TIV-specific"	"cell type frequency"	"up"	"Cluster 2"	"21"	"days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"21d-0d"	"Time of vaccination (first dose)"	"Adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"2"	"136"
""	"20191106-hipciof_ctf_30843873"	"2019.11.06"	"hipciof_ctf_28"	"serum"	"T cell responder TIV-specific CD8+ GRZ+"	"CD8-positive, alpha-beta T cell"	"GZMB+"	"TIV-specific"	"cell type frequency"	"up"	"Cluster 2"	"21"	"days"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"21d-0d"	"Time of vaccination (first dose)"	"Adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"2"	"136"
""	"20191106-hipciof_ctf_30843873"	"2019.11.06"	"hipciof_ctf_28"	"serum"	"T cell responder TIV-specific CD8+ GRZ+"	"CD8-positive, alpha-beta T cell"	"GZMB+"	"TIV-specific"	"cell type frequency"	"up"	"Cluster 2"	"21"	"days"	"Influenza B virus"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"21d-0d"	"Time of vaccination (first dose)"	"Adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"2"	"136"
