""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm"	"extra"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"
"role"	""	""	""	"tissue"	"background"	"cell_biomarker"	"background"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO terms"	"cell type extra details"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Adjuvanted influenza-H1N1 vaccination reveals lymphoid signatures of age-dependent early responses and of clinical adverse events."	"ID of observation within its submission"	"Uniq ID of observation within submission type"
""	"20191106-hipciof_ctf_26726811"	"2019.11.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"gamma-delta T cell"	"gamma-delta T cell"	""	""	"cell type frequency"	"up"	"none"	"1"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"1"	"21"
""	"20191106-hipciof_ctf_26726811"	"2019.11.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"gamma-delta T cell"	"gamma-delta T cell"	""	""	"cell type frequency"	"up"	"none"	"1"	"Days"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"2010"	"Pandemrix"	"VO_0000410"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"1"	"21"
""	"20191106-hipciof_ctf_26726811"	"2019.11.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"gamma-delta T cell"	"gamma-delta T cell"	""	""	"cell type frequency"	"up"	"none"	"1"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2010"	"Pandemrix"	"VO_0000410"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"1"	"21"
""	"20191106-hipciof_ctf_26726811"	"2019.11.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"plasma cell"	"plasma cell"	""	""	"cell type frequency"	"up"	"none"	"1"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"1"	"21"
""	"20191106-hipciof_ctf_26726811"	"2019.11.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"plasma cell"	"plasma cell"	""	""	"cell type frequency"	"up"	"none"	"1"	"Days"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"2010"	"Pandemrix"	"VO_0000410"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"1"	"21"
""	"20191106-hipciof_ctf_26726811"	"2019.11.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"plasma cell"	"plasma cell"	""	""	"cell type frequency"	"up"	"none"	"1"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2010"	"Pandemrix"	"VO_0000410"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"1"	"21"
""	"20191106-hipciof_ctf_26726811"	"2019.11.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"plasma cell"	"plasma cell"	""	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2"	"22"
""	"20191106-hipciof_ctf_26726811"	"2019.11.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"plasma cell"	"plasma cell"	""	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"2010"	"Pandemrix"	"VO_0000410"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2"	"22"
""	"20191106-hipciof_ctf_26726811"	"2019.11.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"plasma cell"	"plasma cell"	""	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2010"	"Pandemrix"	"VO_0000410"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2"	"22"
""	"20191106-hipciof_ctf_26726811"	"2019.11.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"	"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"	""	""	"cell type frequency"	"down"	"none"	"1"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-35)"	"26726811"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"3"	"23"
""	"20191106-hipciof_ctf_26726811"	"2019.11.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"	"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"	""	""	"cell type frequency"	"down"	"none"	"1"	"Days"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"2010"	"Pandemrix"	"VO_0000410"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-35)"	"26726811"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"3"	"23"
""	"20191106-hipciof_ctf_26726811"	"2019.11.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"	"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"	""	""	"cell type frequency"	"down"	"none"	"1"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2010"	"Pandemrix"	"VO_0000410"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-35)"	"26726811"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"3"	"23"
""	"20191106-hipciof_ctf_26726811"	"2019.11.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"plasmablast"	"plasmablast"	""	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"4"	"24"
""	"20191106-hipciof_ctf_26726811"	"2019.11.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"plasmablast"	"plasmablast"	""	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"2010"	"Pandemrix"	"VO_0000410"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"4"	"24"
""	"20191106-hipciof_ctf_26726811"	"2019.11.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"plasmablast"	"plasmablast"	""	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2010"	"Pandemrix"	"VO_0000410"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"4"	"24"
