""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm"	"extra"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"
"role"	""	""	""	"tissue"	"background"	"cell_biomarker"	"background"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO terms"	"cell type extra details"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Systems Analysis of Immunity to Influenza Vaccination across Multiple Years and in Diverse Populations Reveals Shared Molecular Signatures."	"ID of observation within its submission"	"Uniq ID of observation within submission type"
""	"20191106-hipciof_ctf_26682988"	"2019.11.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	""	"cell type frequency"	"up"	"2010 season"	"1"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"seniors (>65yrs)"	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"1"	"88"
""	"20191106-hipciof_ctf_26682988"	"2019.11.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	""	"cell type frequency"	"up"	"2010 season"	"1"	"Days"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"seniors (>65yrs)"	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"1"	"88"
""	"20191106-hipciof_ctf_26682988"	"2019.11.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	""	"cell type frequency"	"up"	"2010 season"	"1"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"seniors (>65yrs)"	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"1"	"88"
""	"20191106-hipciof_ctf_26682988"	"2019.11.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	""	"cell type frequency"	"up"	"2010 season"	"3"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"3d-0d"	"time of vaccination (first dose)"	"seniors (>65yrs)"	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"2"	"89"
""	"20191106-hipciof_ctf_26682988"	"2019.11.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	""	"cell type frequency"	"up"	"2010 season"	"3"	"Days"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"3d-0d"	"time of vaccination (first dose)"	"seniors (>65yrs)"	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"2"	"89"
""	"20191106-hipciof_ctf_26682988"	"2019.11.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	""	"cell type frequency"	"up"	"2010 season"	"3"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"3d-0d"	"time of vaccination (first dose)"	"seniors (>65yrs)"	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"2"	"89"
""	"20191106-hipciof_ctf_26682988"	"2019.11.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	""	"cell type frequency"	"up"	"2010 season"	"14"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"14d-0d"	"time of vaccination (first dose)"	"seniors (>65yrs)"	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"90"
""	"20191106-hipciof_ctf_26682988"	"2019.11.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	""	"cell type frequency"	"up"	"2010 season"	"14"	"Days"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"14d-0d"	"time of vaccination (first dose)"	"seniors (>65yrs)"	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"90"
""	"20191106-hipciof_ctf_26682988"	"2019.11.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	""	"cell type frequency"	"up"	"2010 season"	"14"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"14d-0d"	"time of vaccination (first dose)"	"seniors (>65yrs)"	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"90"
""	"20191106-hipciof_ctf_26682988"	"2019.11.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	""	"cell type frequency"	"up"	"2010 season"	"0"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"Seniors vs adults"	"time of vaccination (first dose)"	"seniors (>65yrs), Adults (<65 yrs)"	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"4"	"91"
""	"20191106-hipciof_ctf_26682988"	"2019.11.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	""	"cell type frequency"	"up"	"2010 season"	"0"	"Days"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"Seniors vs adults"	"time of vaccination (first dose)"	"seniors (>65yrs), Adults (<65 yrs)"	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"4"	"91"
""	"20191106-hipciof_ctf_26682988"	"2019.11.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	""	"cell type frequency"	"up"	"2010 season"	"0"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"Seniors vs adults"	"time of vaccination (first dose)"	"seniors (>65yrs), Adults (<65 yrs)"	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"4"	"91"
""	"20191106-hipciof_ctf_26682988"	"2019.11.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	""	"cell type frequency"	"up"	"2010 season"	"1"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"Seniors vs adults"	"time of vaccination (first dose)"	"seniors (>65yrs), Adults (<65 yrs)"	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"5"	"92"
""	"20191106-hipciof_ctf_26682988"	"2019.11.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	""	"cell type frequency"	"up"	"2010 season"	"1"	"Days"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"Seniors vs adults"	"time of vaccination (first dose)"	"seniors (>65yrs), Adults (<65 yrs)"	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"5"	"92"
""	"20191106-hipciof_ctf_26682988"	"2019.11.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	""	"cell type frequency"	"up"	"2010 season"	"1"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"Seniors vs adults"	"time of vaccination (first dose)"	"seniors (>65yrs), Adults (<65 yrs)"	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"5"	"92"
""	"20191106-hipciof_ctf_26682988"	"2019.11.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	""	"cell type frequency"	"up"	"2010 season"	"3"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"Seniors vs adults"	"time of vaccination (first dose)"	"seniors (>65yrs), Adults (<65 yrs)"	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"6"	"93"
""	"20191106-hipciof_ctf_26682988"	"2019.11.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	""	"cell type frequency"	"up"	"2010 season"	"3"	"Days"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"Seniors vs adults"	"time of vaccination (first dose)"	"seniors (>65yrs), Adults (<65 yrs)"	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"6"	"93"
""	"20191106-hipciof_ctf_26682988"	"2019.11.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	""	"cell type frequency"	"up"	"2010 season"	"3"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"Seniors vs adults"	"time of vaccination (first dose)"	"seniors (>65yrs), Adults (<65 yrs)"	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"6"	"93"
