""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm"	"extra"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"
"role"	""	""	""	"tissue"	"background"	"cell_biomarker"	"background"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO terms"	"cell type extra details"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Systems biology of immunity to MF59-adjuvanted versus nonadjuvanted trivalent seasonal influenza vaccines in early childhood."	"ID of observation within its submission"	"Uniq ID of observation within submission type"
""	"20191106-hipciof_ctf_26755593"	"2019.11.06"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"CD4-positive, alpha-beta T cell"	"CD4-positive, alpha-beta T cell"	""	""	"cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"Fluad"	"VO_0004281"	""	"Correlated with Antibody response at 28d and onward"	"time of vaccination (first dose)"	"children (14-27mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"1"	"18"
""	"20191106-hipciof_ctf_26755593"	"2019.11.06"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"CD4-positive, alpha-beta T cell"	"CD4-positive, alpha-beta T cell"	""	""	"cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"Fluad"	"VO_0004281"	""	"Correlated with Antibody response at 28d and onward"	"time of vaccination (first dose)"	"children (14-27mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"1"	"18"
""	"20191106-hipciof_ctf_26755593"	"2019.11.06"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"CD4-positive, alpha-beta T cell"	"CD4-positive, alpha-beta T cell"	""	""	"cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza B virus"	"2012"	"Fluad"	"VO_0004281"	""	"Correlated with Antibody response at 28d and onward"	"time of vaccination (first dose)"	"children (14-27mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"1"	"18"
""	"20191106-hipciof_ctf_26755593"	"2019.11.06"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"interferon-gamma-positive T cells"	"T cell"	"IFNG+"	""	"cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"Imuvac"	"VO_0003144"	""	"56d-0d"	"time of vaccination (first dose)"	"children (14-26mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"2"	"19"
""	"20191106-hipciof_ctf_26755593"	"2019.11.06"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"interferon-gamma-positive T cells"	"T cell"	"IFNG+"	""	"cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"Imuvac"	"VO_0003144"	""	"56d-0d"	"time of vaccination (first dose)"	"children (14-26mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"2"	"19"
""	"20191106-hipciof_ctf_26755593"	"2019.11.06"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"interferon-gamma-positive T cells"	"T cell"	"IFNG+"	""	"cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza B virus"	"2012"	"Imuvac"	"VO_0003144"	""	"56d-0d"	"time of vaccination (first dose)"	"children (14-26mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"2"	"19"
""	"20191106-hipciof_ctf_26755593"	"2019.11.06"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"intereferon-gamma-positive, tumor-necrosis-factor-alfa-positive, interleukin-2-positive, effector memory CD4-positive, alpha-beta T cell"	"effector memory CD4-positive, alpha-beta T cell"	"TNF-a, IL-2+"	""	"cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"Fluad"	"VO_0004281"	""	"56d-0d"	"time of vaccination (first dose)"	"children (14-27mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"3"	"20"
""	"20191106-hipciof_ctf_26755593"	"2019.11.06"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"intereferon-gamma-positive, tumor-necrosis-factor-alfa-positive, interleukin-2-positive, effector memory CD4-positive, alpha-beta T cell"	"effector memory CD4-positive, alpha-beta T cell"	"TNF-a, IL-2+"	""	"cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"Fluad"	"VO_0004281"	""	"56d-0d"	"time of vaccination (first dose)"	"children (14-27mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"3"	"20"
""	"20191106-hipciof_ctf_26755593"	"2019.11.06"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"intereferon-gamma-positive, tumor-necrosis-factor-alfa-positive, interleukin-2-positive, effector memory CD4-positive, alpha-beta T cell"	"effector memory CD4-positive, alpha-beta T cell"	"TNF-a, IL-2+"	""	"cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza B virus"	"2012"	"Fluad"	"VO_0004281"	""	"56d-0d"	"time of vaccination (first dose)"	"children (14-27mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"3"	"20"
""	"20191106-hipciof_ctf_26755593"	"2019.11.06"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"intereferon-gamma-negative, tumor-necrosis-factor-alfa-positive, interleukin-2-positive, effector memory CD4-positive, alpha-beta T cell"	"effector memory CD4-positive, alpha-beta T cell"	"IFNG-, TNF-a+, IL-2+"	""	"cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"Fluad"	"VO_0004281"	""	"56d-0d"	"time of vaccination (first dose)"	"children (14-27mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"3"	"20"
""	"20191106-hipciof_ctf_26755593"	"2019.11.06"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"intereferon-gamma-negative, tumor-necrosis-factor-alfa-positive, interleukin-2-positive, effector memory CD4-positive, alpha-beta T cell"	"effector memory CD4-positive, alpha-beta T cell"	"IFNG-, TNF-a+, IL-2+"	""	"cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"Fluad"	"VO_0004281"	""	"56d-0d"	"time of vaccination (first dose)"	"children (14-27mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"3"	"20"
""	"20191106-hipciof_ctf_26755593"	"2019.11.06"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"intereferon-gamma-negative, tumor-necrosis-factor-alfa-positive, interleukin-2-positive, effector memory CD4-positive, alpha-beta T cell"	"effector memory CD4-positive, alpha-beta T cell"	"IFNG-, TNF-a+, IL-2+"	""	"cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza B virus"	"2012"	"Fluad"	"VO_0004281"	""	"56d-0d"	"time of vaccination (first dose)"	"children (14-27mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"3"	"20"
""	"20191106-hipciof_ctf_26755593"	"2019.11.06"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"intereferon-gamma-negative, tumor-necrosis-factor-alfa-positive, interleukin-2-negative, effector memory CD4-positive, alpha-beta T cell"	"effector memory CD4-positive, alpha-beta T cell"	"IFNG-, TNF-a+, IL-2-"	""	"cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"Fluad"	"VO_0004281"	""	"56d-0d"	"time of vaccination (first dose)"	"children (14-27mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"3"	"20"
""	"20191106-hipciof_ctf_26755593"	"2019.11.06"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"intereferon-gamma-negative, tumor-necrosis-factor-alfa-positive, interleukin-2-negative, effector memory CD4-positive, alpha-beta T cell"	"effector memory CD4-positive, alpha-beta T cell"	"IFNG-, TNF-a+, IL-2-"	""	"cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"Fluad"	"VO_0004281"	""	"56d-0d"	"time of vaccination (first dose)"	"children (14-27mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"3"	"20"
""	"20191106-hipciof_ctf_26755593"	"2019.11.06"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"intereferon-gamma-negative, tumor-necrosis-factor-alfa-positive, interleukin-2-negative, effector memory CD4-positive, alpha-beta T cell"	"effector memory CD4-positive, alpha-beta T cell"	"IFNG-, TNF-a+, IL-2-"	""	"cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza B virus"	"2012"	"Fluad"	"VO_0004281"	""	"56d-0d"	"time of vaccination (first dose)"	"children (14-27mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"3"	"20"
