""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"
"role"	""	""	""	"tissue"	"background"	"cell_biomarker"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type details"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"publication url"
""	"20181210-hipciof_ctf_17651872"	"2018.12.10"	"hipciof_ctf_15"	"peripheral blood mononuclear cell"	"red blood cell"	"erythrocyte"	""	"Cell type frequency"	"down"	"none"	"43285"	"Days"	"Yellow fever virus 17D"	""	"YF-VAX"	"VO_0000121"	""	"4-7d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"17651872"	"2007"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"
""	"20181210-hipciof_ctf_17651872"	"2018.12.10"	"hipciof_ctf_15"	"peripheral blood mononuclear cell"	"white blood cell"	"leukocyte"	""	"Cell type frequency"	"down"	"none"	"43285"	"Days"	"Yellow fever virus 17D"	""	"YF-VAX"	"VO_0000121"	""	"4-7d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"17651872"	"2007"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"
""	"20181210-hipciof_ctf_17651872"	"2018.12.10"	"hipciof_ctf_15"	"peripheral blood mononuclear cell"	"neutrophil"	"neutrophil"	""	"Cell type frequency"	"down"	"none"	"43285"	"Days"	"Yellow fever virus 17D"	""	"YF-VAX"	"VO_0000121"	""	"4-7d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"17651872"	"2007"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"
""	"20181210-hipciof_ctf_17651872"	"2018.12.10"	"hipciof_ctf_15"	"peripheral blood mononuclear cell"	"lymphocyte"	"lymphocyte"	""	"Cell type frequency"	"down"	"none"	"43285"	"Days"	"Yellow fever virus 17D"	""	"YF-VAX"	"VO_0000121"	""	"4-7d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"17651872"	"2007"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"
""	"20181210-hipciof_ctf_17651872"	"2018.12.10"	"hipciof_ctf_15"	"peripheral blood mononuclear cell"	"eosinophil"	"eosinophil"	""	"Cell type frequency"	"down"	"none"	"43285"	"Days"	"Yellow fever virus 17D"	""	"YF-VAX"	"VO_0000121"	""	"4-7d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"17651872"	"2007"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"
