""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"
"subject"	""	""	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"
"role"	""	""	""	"tissue"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (cell subset)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"publication url"
""	"20181206-hipciof_ctf_23151505"	"2018.12.06"	"hipciof_ctf_7"	"peripheral blood mononuclear cell"	"B cell"	"Cell type frequency"	"up"	"none"	"1"	"Days"	"Human immunodeficiency virus 1"	""	"MRKAd5/HIV"	"VO_0003133"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (20-50)"	"23151505"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505"
""	"20181206-hipciof_ctf_23151505"	"2018.12.06"	"hipciof_ctf_7"	"peripheral blood mononuclear cell"	"CD14-positive, CD16-negative classical monocyte"	"Cell type frequency"	"up"	"none"	"1"	"Days"	"Human immunodeficiency virus 1"	""	"MRKAd5/HIV"	"VO_0003133"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (20-50)"	"23151505"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505"
""	"20181206-hipciof_ctf_23151505"	"2018.12.06"	"hipciof_ctf_7"	"peripheral blood mononuclear cell"	"CD4-positive, alpha-beta T cell"	"Cell type frequency"	"up"	"none"	"1"	"Days"	"Human immunodeficiency virus 1"	""	"MRKAd5/HIV"	"VO_0003133"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (20-50)"	"23151505"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505"
""	"20181206-hipciof_ctf_23151505"	"2018.12.06"	"hipciof_ctf_7"	"peripheral blood mononuclear cell"	"CD16-positive, CD56-dim natural killer cell"	"Cell type frequency"	"up"	"none"	"1"	"Days"	"Human immunodeficiency virus 1"	""	"MRKAd5/HIV"	"VO_0003133"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (20-50)"	"23151505"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505"
