""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"
"role"	""	""	""	"tissue"	"background"	"cell_biomarker"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type details"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"publication url"
""	"20190305-hipciof_ctf_18378159"	"2019.03.05"	"hipciof_ctf_20"	"peripheral blood mononuclear cell"	"IFN-gamma producing cells (Th1)"	"T-helper 1 cell"	"IFNg+"	"cell type frequency"	"up"	"none"	"15"	"Days"	"Yellow fever virus 17D"	""	"YF 17DD-YFV"	"VO_0003136"	""	"15d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"18378159"	"2008"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=18378159"
""	"20190305-hipciof_ctf_18378159"	"2019.03.05"	"hipciof_ctf_20"	"peripheral blood mononuclear cell"	"IFN-gamma producing cells (Th1)"	"T-helper 1 cell"	"IFNg+"	"cell type frequency"	"up"	"none"	"15"	"Days"	"Yellow fever virus 17D"	""	"YF 17DD-YFV"	"VO_0003136"	""	"15d-7d"	"time of vaccination (first dose)"	"adults (18-55)"	"18378159"	"2008"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=18378159"
""	"20190305-hipciof_ctf_18378159"	"2019.03.05"	"hipciof_ctf_20"	"peripheral blood mononuclear cell"	"IFN-gamma producing cells (Th1)"	"T-helper 1 cell"	"IFNg+"	"cell type frequency"	"up"	"none"	"15"	"Days"	"Yellow fever virus 17D"	""	"YF 17DD-YFV"	"VO_0003136"	""	"treated-untreated"	"time of vaccination (first dose)"	"adults (18-55)"	"18378159"	"2008"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=18378159"
""	"20190305-hipciof_ctf_18378159"	"2019.03.05"	"hipciof_ctf_20"	"peripheral blood mononuclear cell"	"IL-4 producing cells (Th2)"	"T-helper 2 cell"	"IL-4+"	"cell type frequency"	"up"	"none"	"15"	"Days"	"Yellow fever virus 17D"	""	"YF 17DD-YFV"	"VO_0003136"	""	"15d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"18378159"	"2008"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=18378159"
""	"20190305-hipciof_ctf_18378159"	"2019.03.05"	"hipciof_ctf_20"	"peripheral blood mononuclear cell"	"IL-4 producing cells (Th2)"	"T-helper 2 cell"	"IL-4+"	"cell type frequency"	"up"	"none"	"15"	"Days"	"Yellow fever virus 17D"	""	"YF 17DD-YFV"	"VO_0003136"	""	"15d-7d"	"time of vaccination (first dose)"	"adults (18-55)"	"18378159"	"2008"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=18378159"
""	"20190305-hipciof_ctf_18378159"	"2019.03.05"	"hipciof_ctf_20"	"peripheral blood mononuclear cell"	"IL-4 producing cells (Th2)"	"T-helper 2 cell"	"IL-4+"	"cell type frequency"	"up"	"none"	"15"	"Days"	"Yellow fever virus 17D"	""	"YF 17DD-YFV"	"VO_0003136"	""	"treated-untreated"	"time of vaccination (first dose)"	"adults (18-55)"	"18378159"	"2008"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=18378159"
