""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"
"role"	""	""	""	"tissue"	"background"	"cell_biomarker"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type details"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"publication url"	"ID of observation within its submission"	"Uniq ID of observation within submission type"
""	"20191009-hipciof_ctf_28193898"	"2019.10.09"	"hipciof_ctf_8"	"peripheral blood mononuclear cell"	"CSP-specific CD4+ T-cell response"	"CD4-positive, alpha-beta T cell"	"CSP"	"cell type frequency"	"down"	"primary immunization with recombinant adenovirus 35 (Ad35)"	"14"	"Days"	"Plasmodium falciparum"	""	"\"P. falciparum RTS,S/AS01\""	"VO_0003093"	""	"14d-0d"	"time of vaccination (first dose)"	"unknown"	"28193898"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28193898"	"1"	"27"
""	"20191009-hipciof_ctf_28193898"	"2019.10.09"	"hipciof_ctf_8"	"peripheral blood mononuclear cell"	"CSP-specific CD4+ T-cell response"	"CD4-positive, alpha-beta T cell"	"CSP"	"cell type frequency"	"down"	"none"	"42"	"Days"	"Plasmodium falciparum"	""	"\"P. falciparum RTS,S/AS01\""	"VO_0003093"	""	"42d-0d"	"time of vaccination (first dose)"	"unknown"	"28193898"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28193898"	"2"	"28"
""	"20191009-hipciof_ctf_28193898"	"2019.10.09"	"hipciof_ctf_8"	"peripheral blood mononuclear cell"	"CSP-specific CD4+ T-cell response"	"CD4-positive, alpha-beta T cell"	"CSP"	"cell type frequency"	"down"	"none"	"77"	"Days"	"Plasmodium falciparum"	""	"\"P. falciparum RTS,S/AS01\""	"VO_0003093"	""	"77d-0d"	"time of vaccination (first dose)"	"unknown"	"28193898"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28193898"	"3"	"29"
""	"20191009-hipciof_ctf_28193898"	"2019.10.09"	"hipciof_ctf_8"	"peripheral blood mononuclear cell"	"CSP-specific CD4+ T-cell response"	"CD4-positive, alpha-beta T cell"	"CSP"	"cell type frequency"	"down"	"none"	">77"	"Days"	"Plasmodium falciparum"	""	"\"P. falciparum RTS,S/AS01\""	"VO_0003093"	""	"Post challenge vs before challenge"	"time of vaccination (first dose)"	"unknown"	"28193898"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28193898"	"4"	"30"
""	"20191009-hipciof_ctf_28193898"	"2019.10.09"	"hipciof_ctf_8"	"peripheral blood mononuclear cell"	"CSP-specific polyfunctional CD4+ T cells"	"CD4-positive, alpha-beta T cell"	"CSP,polyfunctional"	"cell type frequency"	"positive"	"primary immunization with recombinant adenovirus 35 (Ad35)"	"14"	"Days"	"Plasmodium falciparum"	""	"\"P. falciparum RTS,S/AS01\""	"VO_0003093"	""	"Correlated with protection"	"time of vaccination (first dose)"	"unknown"	"28193898"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28193898"	"5"	"31"
