""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_original"	"response_agent"	"proterm_and_extra"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO and extra terms"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Querec et al. (2009) Systems biology approach predicts immunogenicity of the yellow fever vaccine in humans. Nat. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=19029902' target='_blank'>19029902</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"
""	"20090130-hipciof_ctf_19029902"	"2009.01.30"	"hipciof_ctf_30"	"peripheral blood mononuclear cell"	"myeloid DC CD86+"	"myeloid dendritic cell"	""	"cell type frequency"	"up"	"none"	"7"	"days"	"Yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"Adults (18-45)"	"19029902"	"2009"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"1"	"134"
""	"20090130-hipciof_ctf_19029902"	"2009.01.30"	"hipciof_ctf_30"	"peripheral blood mononuclear cell"	"plasmacytoid dendritic cell"	"plasmacytoid dendritic cell"	""	"cell type frequency"	"up"	"none"	"7"	"days"	"Yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"Adults (18-45)"	"19029902"	"2009"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"1"	"134"
""	"20090130-hipciof_ctf_19029902"	"2009.01.30"	"hipciof_ctf_30"	"peripheral blood mononuclear cell"	"monocyte"	"monocyte"	""	"cell type frequency"	"up"	"none"	"7"	"days"	"Yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"Adults (18-45)"	"19029902"	"2009"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"1"	"134"
""	"20090130-hipciof_ctf_19029902"	"2009.01.30"	"hipciof_ctf_30"	"peripheral blood mononuclear cell"	"inflammatory monocyte CD14+ CD16+"	"CD14-positive, CD16-positive monocyte"	""	"cell type frequency"	"up"	"none"	"7"	"days"	"Yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"Adults (18-45)"	"19029902"	"2009"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"1"	"134"
""	"20090130-hipciof_ctf_19029902"	"2009.01.30"	"hipciof_ctf_30"	"peripheral blood mononuclear cell"	"myeloid DC CD86+"	"myeloid dendritic cell"	""	"cell type frequency"	"up"	"none"	"7"	"days"	"Yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"7d-1d"	"time of vaccination (first dose)"	"Adults (18-45)"	"19029902"	"2009"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"2"	"135"
""	"20090130-hipciof_ctf_19029902"	"2009.01.30"	"hipciof_ctf_30"	"peripheral blood mononuclear cell"	"plasmacytoid dendritic cell"	"plasmacytoid dendritic cell"	""	"cell type frequency"	"up"	"none"	"7"	"days"	"Yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"7d-1d"	"time of vaccination (first dose)"	"Adults (18-45)"	"19029902"	"2009"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"2"	"135"
""	"20090130-hipciof_ctf_19029902"	"2009.01.30"	"hipciof_ctf_30"	"peripheral blood mononuclear cell"	"monocyte"	"monocyte"	""	"cell type frequency"	"up"	"none"	"7"	"days"	"Yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"7d-1d"	"time of vaccination (first dose)"	"Adults (18-45)"	"19029902"	"2009"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"2"	"135"
""	"20090130-hipciof_ctf_19029902"	"2009.01.30"	"hipciof_ctf_30"	"peripheral blood mononuclear cell"	"inflammatory monocyte CD14+ CD16+"	"CD14-positive, CD16-positive monocyte"	""	"cell type frequency"	"up"	"none"	"7"	"days"	"Yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"7d-1d"	"time of vaccination (first dose)"	"Adults (18-45)"	"19029902"	"2009"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"2"	"135"
