""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Matsumiya et al. (2014) Inflammatory and myeloid-associated gene expression before and one day after infant vaccination with MVA85A correlates with induction of a T cell response. BMC Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24912498' target='_blank'>24912498</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_cor_24912498"	"2014.06"	"hipc_gene_cor_28"	"blood"	"CXCL10"	"gene expression"	"positively"	"BCG-primed"	"1"	"Day"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"correlated with IFN-gamma ELISpot spot forming cell (SFC) 28d"	"time of vaccination (first dose)"	"infants (4-6m)"	"24912498"	"2014"	"Fig 6A, see also Table 2"	"\"Expression in unstimulated whole blood 1 day post-MVA85A of CXCL10 and IDO1 but not CTLA4 correlates with ELISpot response in RSA infants\""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24912498"	"infants"	"4"	"6"	"months"	"7"	"191"	"CXCL10"	"hipc_gene_cor_24912498_191.txt"	"hipc_gene_cor_complete_24912498_191.txt"
""	"hipc_gene_cor_24912498"	"2014.06"	"hipc_gene_cor_28"	"blood"	"IDO1"	"gene expression"	"positively"	"BCG-primed"	"1"	"Day"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"correlated with IFN-gamma ELISpot spot forming cell (SFC) 28d"	"time of vaccination (first dose)"	"infants (4-6m)"	"24912498"	"2014"	"Fig 6A, see also Table 2"	"\"Expression in unstimulated whole blood 1 day post-MVA85A of CXCL10 and IDO1 but not CTLA4 correlates with ELISpot response in RSA infants\""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24912498"	"infants"	"4"	"6"	"months"	"7"	"191"	"IDO1"	"hipc_gene_cor_24912498_191.txt"	"hipc_gene_cor_complete_24912498_191.txt"
""	"hipc_gene_cor_24912498"	"2014.06"	"hipc_gene_cor_28"	"blood"	"CXCL10"	"gene expression"	"positively"	"BCG-primed"	"1"	"Day"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"correlated with IDO1"	"time of vaccination (first dose)"	"infants (4-6m)"	"24912498"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24912498"	"infants"	"4"	"6"	"months"	"8"	"192"	"CXCL10"	"hipc_gene_cor_24912498_192.txt"	"hipc_gene_cor_complete_24912498_192.txt"
""	"hipc_gene_cor_24912498"	"2014.06"	"hipc_gene_cor_28"	"blood"	"CTLA4"	"gene expression"	"negatively"	"BCG-primed"	"1"	"Day"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"correlated with IDO1"	"time of vaccination (first dose)"	"infants (4-6m)"	"24912498"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24912498"	"infants"	"4"	"6"	"months"	"9"	"193"	"CTLA4"	"hipc_gene_cor_24912498_193.txt"	"hipc_gene_cor_complete_24912498_193.txt"
