""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Zak et al. (2012) Merck Ad5/HIV induces broad innate immune activation that predicts CD8⁺ T-cell responses but is attenuated by preexisting Ad5 immunity. Proc. Natl. Acad. Sci. U.S.A. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505' target='_blank'>23151505</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_cor_23151505"	"2012.12"	"hipc_gene_cor_7"	"peripheral blood mononuclear cell"	"ANKRD10-IT1"	"gene expression"	"positively"	"none"	"3"	"Days"	"human immunodeficiency virus 1"	""	"MRKAd5 HIV-1 gag/pol/nef"	"VO_0003133"	""	"correlated with CD8+ T-cell responses magnitude"	"time of vaccination (first dose)"	"adults (20-50)"	"23151505"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/23151505"	"adults"	"20"	"50"	"years"	"7"	"65"	"ANKRD10-IT1"	"hipc_gene_cor_23151505_65.txt"	"hipc_gene_cor_complete_23151505_65.txt"
""	"hipc_gene_cor_23151505"	"2012.12"	"hipc_gene_cor_7"	"peripheral blood mononuclear cell"	"ANKRD12"	"gene expression"	"positively"	"none"	"3"	"Days"	"human immunodeficiency virus 1"	""	"MRKAd5 HIV-1 gag/pol/nef"	"VO_0003133"	""	"correlated with CD8+ T-cell responses magnitude"	"time of vaccination (first dose)"	"adults (20-50)"	"23151505"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/23151505"	"adults"	"20"	"50"	"years"	"7"	"65"	"ANKRD12"	"hipc_gene_cor_23151505_65.txt"	"hipc_gene_cor_complete_23151505_65.txt"
""	"hipc_gene_cor_23151505"	"2012.12"	"hipc_gene_cor_7"	"peripheral blood mononuclear cell"	"ARHGAP12"	"gene expression"	"positively"	"none"	"3"	"Days"	"human immunodeficiency virus 1"	""	"MRKAd5 HIV-1 gag/pol/nef"	"VO_0003133"	""	"correlated with CD8+ T-cell responses magnitude"	"time of vaccination (first dose)"	"adults (20-50)"	"23151505"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/23151505"	"adults"	"20"	"50"	"years"	"7"	"65"	"ARHGAP12"	"hipc_gene_cor_23151505_65.txt"	"hipc_gene_cor_complete_23151505_65.txt"
""	"hipc_gene_cor_23151505"	"2012.12"	"hipc_gene_cor_7"	"peripheral blood mononuclear cell"	"ARID4A"	"gene expression"	"positively"	"none"	"3"	"Days"	"human immunodeficiency virus 1"	""	"MRKAd5 HIV-1 gag/pol/nef"	"VO_0003133"	""	"correlated with CD8+ T-cell responses magnitude"	"time of vaccination (first dose)"	"adults (20-50)"	"23151505"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/23151505"	"adults"	"20"	"50"	"years"	"7"	"65"	"ARID4A"	"hipc_gene_cor_23151505_65.txt"	"hipc_gene_cor_complete_23151505_65.txt"
