""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"comments and additional details"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comment"	"Nakaya et al. (2016) Systems biology of immunity to MF59-adjuvanted versus nonadjuvanted trivalent seasonal influenza vaccines in early childhood. Proc. Natl. Acad. Sci. U.S.A. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593' target='_blank'>26755593</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response agents file"	"complete signature response agents file"
""	"20160722-hipciof_gene_corr_26755593"	"2016.07.22"	"hipciof_gene_corr_5"	"peripheral blood mononuclear cell"	"PTX3"	"gene expression"	"negatively"	"MF59-adjuvanted and non-adjuvanted"	"29"	"Days"	"2012"	"Fluad; Imuvac"	""	"correlated with HAI response"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"1"	"45"	"PTX3"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_corr_26755593_45.txt"	"hipciof_gene_corr_complete_26755593_45.txt"
""	"20160722-hipciof_gene_corr_26755593"	"2016.07.22"	"hipciof_gene_corr_5"	"peripheral blood mononuclear cell"	"ELANE"	"gene expression"	"negatively"	"MF59-adjuvanted and non-adjuvanted"	"29"	"Days"	"2012"	"Fluad; Imuvac"	""	"correlated with HAI response"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"1"	"45"	"ELANE"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_corr_26755593_45.txt"	"hipciof_gene_corr_complete_26755593_45.txt"
""	"20160722-hipciof_gene_corr_26755593"	"2016.07.22"	"hipciof_gene_corr_5"	"peripheral blood mononuclear cell"	"FCER1A"	"gene expression"	"negatively"	"MF59-adjuvanted and non-adjuvanted"	"29"	"Days"	"2012"	"Fluad; Imuvac"	""	"correlated with HAI response"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"1"	"45"	"FCER1A"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_corr_26755593_45.txt"	"hipciof_gene_corr_complete_26755593_45.txt"
""	"20160722-hipciof_gene_corr_26755593"	"2016.07.22"	"hipciof_gene_corr_5"	"peripheral blood mononuclear cell"	"HERC5"	"gene expression"	"positively"	"MF59-adjuvanted and non-adjuvanted"	"29"	"Days"	"2012"	"Fluad; Imuvac"	""	"correlated with HAI response"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"2"	"46"	"HERC5"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_corr_26755593_46.txt"	"hipciof_gene_corr_complete_26755593_46.txt"
