""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Zak et al. (2013) Merck Ad5/HIV induces broad innate immune activation that predicts CD8⁺ T-cell responses but is attenuated by preexisting Ad5 immunity. Proc. Natl. Acad. Sci. U.S.A. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505' target='_blank'>23151505</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response agents file"	"complete signature response agents file"
""	"20130228-hipciof_gene_corr_23151505"	"2013.02.28"	"hipciof_gene_corr_7"	"peripheral blood mononuclear cell"	"ANKRD10-IT1"	"gene expression"	"positively"	"none"	"3"	"Days"	"Human immunodeficiency virus 1"	""	"MRKAd5 HIV-1 gag/pol/nef"	"VO_0003133"	""	"correlated with CD8+ T-cell responses magnitude"	"time of vaccination (first dose)"	"adults (20-50)"	"23151505"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/23151505"	"7"	"64"	"ANKRD10-IT1"	"hipciof_gene_corr_23151505_64.txt"	"hipciof_gene_corr_complete_23151505_64.txt"
""	"20130228-hipciof_gene_corr_23151505"	"2013.02.28"	"hipciof_gene_corr_7"	"peripheral blood mononuclear cell"	"ANKRD12"	"gene expression"	"positively"	"none"	"3"	"Days"	"Human immunodeficiency virus 1"	""	"MRKAd5 HIV-1 gag/pol/nef"	"VO_0003133"	""	"correlated with CD8+ T-cell responses magnitude"	"time of vaccination (first dose)"	"adults (20-50)"	"23151505"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/23151505"	"7"	"64"	"ANKRD12"	"hipciof_gene_corr_23151505_64.txt"	"hipciof_gene_corr_complete_23151505_64.txt"
""	"20130228-hipciof_gene_corr_23151505"	"2013.02.28"	"hipciof_gene_corr_7"	"peripheral blood mononuclear cell"	"ARHGAP12"	"gene expression"	"positively"	"none"	"3"	"Days"	"Human immunodeficiency virus 1"	""	"MRKAd5 HIV-1 gag/pol/nef"	"VO_0003133"	""	"correlated with CD8+ T-cell responses magnitude"	"time of vaccination (first dose)"	"adults (20-50)"	"23151505"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/23151505"	"7"	"64"	"ARHGAP12"	"hipciof_gene_corr_23151505_64.txt"	"hipciof_gene_corr_complete_23151505_64.txt"
""	"20130228-hipciof_gene_corr_23151505"	"2013.02.28"	"hipciof_gene_corr_7"	"peripheral blood mononuclear cell"	"ARID4A"	"gene expression"	"positively"	"none"	"3"	"Days"	"Human immunodeficiency virus 1"	""	"MRKAd5 HIV-1 gag/pol/nef"	"VO_0003133"	""	"correlated with CD8+ T-cell responses magnitude"	"time of vaccination (first dose)"	"adults (20-50)"	"23151505"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/23151505"	"7"	"64"	"ARID4A"	"hipciof_gene_corr_23151505_64.txt"	"hipciof_gene_corr_complete_23151505_64.txt"
