""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Li et al. (2017) Metabolic Phenotypes of Response to Vaccination in Humans. Cell PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28502771' target='_blank'>28502771</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_dir_28502771"	"2017.05"	"hipc_gene_dir_8"	"peripheral blood mononuclear cell"	"MX1"	"gene expression"	"up"	"none"	"1"	"Day"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (25-40/60-79)"	"28502771"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28502771"	"adults, seniors"	"25"	"79"	"years"	"1"	"67"	"MX1"	"hipc_gene_dir_28502771_67.txt"	"hipc_gene_dir_complete_28502771_67.txt"
""	"hipc_gene_dir_28502771"	"2017.05"	"hipc_gene_dir_8"	"peripheral blood mononuclear cell"	"IFI44L"	"gene expression"	"up"	"none"	"1"	"Day"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (25-40/60-79)"	"28502771"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28502771"	"adults, seniors"	"25"	"79"	"years"	"1"	"67"	"IFI44L"	"hipc_gene_dir_28502771_67.txt"	"hipc_gene_dir_complete_28502771_67.txt"
""	"hipc_gene_dir_28502771"	"2017.05"	"hipc_gene_dir_8"	"peripheral blood mononuclear cell"	"PSPH"	"gene expression"	"up"	"none"	"1"	"Day"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (25-40/60-79)"	"28502771"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28502771"	"adults, seniors"	"25"	"79"	"years"	"1"	"67"	"PSPH"	"hipc_gene_dir_28502771_67.txt"	"hipc_gene_dir_complete_28502771_67.txt"
""	"hipc_gene_dir_28502771"	"2017.05"	"hipc_gene_dir_8"	"peripheral blood mononuclear cell"	"MYO6"	"gene expression"	"up"	"none"	"1"	"Day"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (25-40/60-79)"	"28502771"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28502771"	"adults, seniors"	"25"	"79"	"years"	"1"	"67"	"MYO6"	"hipc_gene_dir_28502771_67.txt"	"hipc_gene_dir_complete_28502771_67.txt"
