""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Gonçalves et al. (2019) Innate gene signature distinguishes humoral versus cytotoxic responses to influenza vaccination. J. Clin. Invest. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=30843873' target='_blank'>30843873</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"C2"	"gene expression"	"up"	"MN antibody responders"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"1"	"356"	"C2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_356.txt"	"hipc_gene_dir_complete_30843873_356.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"CKS1B"	"gene expression"	"up"	"MN antibody responders"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"1"	"356"	"CKS1B"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_356.txt"	"hipc_gene_dir_complete_30843873_356.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"PRKAA1"	"gene expression"	"up"	"MN antibody nonresponders"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	""	"S1 (purple) including 3/17 (9%) vaccinated by the t.c. route, 13/18 (39%) by i.d., and 17/17 (52%) by i.m., and S2 (yellow), which included 14/17 (74%) vaccinated by t.c. and 5/18 (26%) by i.d."	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"2"	"357"	"PRKAA1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_357.txt"	"hipc_gene_dir_complete_30843873_357.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"TMEM8B"	"gene expression"	"up"	"MN antibody nonresponders"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	""	"S1 (purple) including 3/17 (9%) vaccinated by the t.c. route, 13/18 (39%) by i.d., and 17/17 (52%) by i.m., and S2 (yellow), which included 14/17 (74%) vaccinated by t.c. and 5/18 (26%) by i.d."	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"2"	"357"	"TMEM8B"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_357.txt"	"hipc_gene_dir_complete_30843873_357.txt"
