""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Bartholomeus et al. (2018) Transcriptome profiling in blood before and after hepatitis B vaccination shows significant differences in gene expression between responders and non-responders. Vaccine PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=30205979' target='_blank'>30205979</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_dir_30205979"	"2018.10"	"hipc_gene_dir_52"	"blood"	"GRN"	"gene expression"	"up"	"none"	"0"	"days"	"hepatitis B virus"	""	"Engerix-B"	"VO_0010711"	""	"nonresponders vs responders"	"time of vaccination (first dose)"	"adults (20-50+)"	"30205979"	"2018"	""	""	"https://www.sciencedirect.com/science/article/pii/S0264410X18312362?via%3Dihub"	"adults"	"20"	""	"years"	"1"	"396"	"GRN"	"hipc_gene_dir_30205979_396.txt"	"hipc_gene_dir_complete_30205979_396.txt"
""	"hipc_gene_dir_30205979"	"2018.10"	"hipc_gene_dir_52"	"blood"	"IFITM1"	"gene expression"	"down"	"none"	"0"	"days"	"hepatitis B virus"	""	"Engerix-B"	"VO_0010711"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (20-50+)"	"30205979"	"2018"	""	""	"https://www.sciencedirect.com/science/article/pii/S0264410X18312362?via%3Dihub"	"adults"	"20"	""	"years"	"2"	"397"	"IFITM1"	"hipc_gene_dir_30205979_397.txt"	"hipc_gene_dir_complete_30205979_397.txt"
""	"hipc_gene_dir_30205979"	"2018.10"	"hipc_gene_dir_52"	"blood"	"IFITM1"	"gene expression"	"up"	"responders"	"3"	"days"	"hepatitis B virus"	""	"Engerix-B"	"VO_0010711"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (20-50+)"	"30205979"	"2018"	""	""	"https://www.sciencedirect.com/science/article/pii/S0264410X18312362?via%3Dihub"	"adults"	"20"	""	"years"	"3"	"398"	"IFITM1"	"hipc_gene_dir_30205979_398.txt"	"hipc_gene_dir_complete_30205979_398.txt"
""	"hipc_gene_dir_30205979"	"2018.10"	"hipc_gene_dir_52"	"blood"	"KCTD7"	"gene expression"	"down"	"nonresponders"	"3"	"days"	"hepatitis B virus"	""	"Engerix-B"	"VO_0010711"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (20-50+)"	"30205979"	"2018"	""	""	"https://www.sciencedirect.com/science/article/pii/S0264410X18312362?via%3Dihub"	"adults"	"20"	""	"years"	"4"	"399"	"KCTD7"	"hipc_gene_dir_30205979_399.txt"	"hipc_gene_dir_complete_30205979_399.txt"
