""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Richert et al. (2013) Cytokine and gene transcription profiles of immune responses elicited by HIV lipopeptide vaccine in HIV-negative volunteers. AIDS PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23759749' target='_blank'>23759749</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_dir_23759749"	"2013.06"	"hipc_gene_dir_27"	"peripheral blood mononuclear cell"	"MT1A"	"gene expression"	"up"	"none"	"0"	"Days"	"human immunodeficiency virus 1"	""	"HIV-LIPO-5"	"VO_0003148"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (37-48)"	"23759749"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23759749"	"adults"	"37"	"48"	"years"	"1"	"178"	"MT1A"	"hipc_gene_dir_23759749_178.txt"	"hipc_gene_dir_complete_23759749_178.txt"
""	"hipc_gene_dir_23759749"	"2013.06"	"hipc_gene_dir_27"	"peripheral blood mononuclear cell"	"MT1E"	"gene expression"	"up"	"none"	"0"	"Days"	"human immunodeficiency virus 1"	""	"HIV-LIPO-5"	"VO_0003148"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (37-48)"	"23759749"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23759749"	"adults"	"37"	"48"	"years"	"1"	"178"	"MT1E"	"hipc_gene_dir_23759749_178.txt"	"hipc_gene_dir_complete_23759749_178.txt"
""	"hipc_gene_dir_23759749"	"2013.06"	"hipc_gene_dir_27"	"peripheral blood mononuclear cell"	"MT1F"	"gene expression"	"up"	"none"	"0"	"Days"	"human immunodeficiency virus 1"	""	"HIV-LIPO-5"	"VO_0003148"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (37-48)"	"23759749"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23759749"	"adults"	"37"	"48"	"years"	"1"	"178"	"MT1F"	"hipc_gene_dir_23759749_178.txt"	"hipc_gene_dir_complete_23759749_178.txt"
""	"hipc_gene_dir_23759749"	"2013.06"	"hipc_gene_dir_27"	"peripheral blood mononuclear cell"	"MT1G"	"gene expression"	"up"	"none"	"0"	"Days"	"human immunodeficiency virus 1"	""	"HIV-LIPO-5"	"VO_0003148"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (37-48)"	"23759749"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23759749"	"adults"	"37"	"48"	"years"	"1"	"178"	"MT1G"	"hipc_gene_dir_23759749_178.txt"	"hipc_gene_dir_complete_23759749_178.txt"
