""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Qiu et al. (2018) Significant transcriptome and cytokine changes in hepatitis B vaccine non-responders revealed by genome-wide comparative analysis. Hum Vaccin Immunother PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=29580160' target='_blank'>29580160</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_dir_29580160"	"2018.07"	"hipc_gene_dir_56"	"peripheral blood mononuclear cell"	"RPS26"	"gene expression"	"down"	"none"	"0"	"days"	"hepatitis B virus"	""	"Heptatitis B surface antigen vaccine (HBsAg)"	"VO_0003150"	""	"non-responders vs responders"	"time of vaccination (first dose)"	"adults (<50)"	"29580160"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"adults"	""	"50"	"years"	"1"	"425"	"RPS26"	"hipc_gene_dir_29580160_425.txt"	"hipc_gene_dir_complete_29580160_425.txt"
""	"hipc_gene_dir_29580160"	"2018.07"	"hipc_gene_dir_56"	"peripheral blood mononuclear cell"	"RPS26P11"	"gene expression"	"down"	"none"	"0"	"days"	"hepatitis B virus"	""	"Heptatitis B surface antigen vaccine (HBsAg)"	"VO_0003150"	""	"non-responders vs responders"	"time of vaccination (first dose)"	"adults (<50)"	"29580160"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"adults"	""	"50"	"years"	"1"	"425"	"RPS26P11"	"hipc_gene_dir_29580160_425.txt"	"hipc_gene_dir_complete_29580160_425.txt"
""	"hipc_gene_dir_29580160"	"2018.07"	"hipc_gene_dir_56"	"peripheral blood mononuclear cell"	"TRAJ1"	"gene expression"	"down"	"none"	"0"	"days"	"hepatitis B virus"	""	"Heptatitis B surface antigen vaccine (HBsAg)"	"VO_0003150"	""	"non-responders vs responders"	"time of vaccination (first dose)"	"adults (<50)"	"29580160"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"adults"	""	"50"	"years"	"1"	"425"	"TRAJ1"	"hipc_gene_dir_29580160_425.txt"	"hipc_gene_dir_complete_29580160_425.txt"
""	"hipc_gene_dir_29580160"	"2018.07"	"hipc_gene_dir_56"	"peripheral blood mononuclear cell"	"TRAJ19"	"gene expression"	"down"	"none"	"0"	"days"	"hepatitis B virus"	""	"Heptatitis B surface antigen vaccine (HBsAg)"	"VO_0003150"	""	"non-responders vs responders"	"time of vaccination (first dose)"	"adults (<50)"	"29580160"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"adults"	""	"50"	"years"	"1"	"425"	"TRAJ19"	"hipc_gene_dir_29580160_425.txt"	"hipc_gene_dir_complete_29580160_425.txt"
