""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Haralambieva et al. (2012) High-dimensional gene expression profiling studies in high and low responders to primary smallpox vaccination. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304' target='_blank'>22949304</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_dir_22949304"	"2012.11"	"hipc_gene_dir_21"	"peripheral blood mononuclear cell"	"TNFRSF10D"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"adults"	"18"	"40"	"years"	"1"	"139"	"TNFRSF10D"	"hipc_gene_dir_22949304_139.txt"	"hipc_gene_dir_complete_22949304_139.txt"
""	"hipc_gene_dir_22949304"	"2012.11"	"hipc_gene_dir_21"	"peripheral blood mononuclear cell"	"IKZF1"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"adults"	"18"	"40"	"years"	"1"	"139"	"IKZF1"	"hipc_gene_dir_22949304_139.txt"	"hipc_gene_dir_complete_22949304_139.txt"
""	"hipc_gene_dir_22949304"	"2012.11"	"hipc_gene_dir_21"	"peripheral blood mononuclear cell"	"IKZF2"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"adults"	"18"	"40"	"years"	"1"	"139"	"IKZF2"	"hipc_gene_dir_22949304_139.txt"	"hipc_gene_dir_complete_22949304_139.txt"
""	"hipc_gene_dir_22949304"	"2012.11"	"hipc_gene_dir_21"	"peripheral blood mononuclear cell"	"NFE2L3"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"adults"	"18"	"40"	"years"	"1"	"139"	"NFE2L3"	"hipc_gene_dir_22949304_139.txt"	"hipc_gene_dir_complete_22949304_139.txt"
