""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Haralambieva et al. (2013) Genome-wide characterization of transcriptional patterns in high and low antibody responders to rubella vaccination. PLoS ONE PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23658707' target='_blank'>23658707</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_dir_23658707"	"2013.05"	"hipc_gene_dir_22"	"peripheral blood mononuclear cell"	"MLXIPL"	"gene expression"	"up"	"none"	"3 to 7"	"Years"	"rubella virus vaccine strain RA27/3"	""	"M-M-R II"	"VO_0000069"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"children (13-16)"	"23658707"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23658707"	"children"	"13"	"16"	"years"	"1"	"140"	"MLXIPL"	"hipc_gene_dir_23658707_140.txt"	"hipc_gene_dir_complete_23658707_140.txt"
""	"hipc_gene_dir_23658707"	"2013.05"	"hipc_gene_dir_22"	"peripheral blood mononuclear cell"	"CXCL6"	"gene expression"	"up"	"none"	"3 to 7"	"Years"	"rubella virus vaccine strain RA27/3"	""	"M-M-R II"	"VO_0000069"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"children (13-16)"	"23658707"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23658707"	"children"	"13"	"16"	"years"	"1"	"140"	"CXCL6"	"hipc_gene_dir_23658707_140.txt"	"hipc_gene_dir_complete_23658707_140.txt"
""	"hipc_gene_dir_23658707"	"2013.05"	"hipc_gene_dir_22"	"peripheral blood mononuclear cell"	"FAM135B"	"gene expression"	"up"	"none"	"3 to 7"	"Years"	"rubella virus vaccine strain RA27/3"	""	"M-M-R II"	"VO_0000069"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"children (13-16)"	"23658707"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23658707"	"children"	"13"	"16"	"years"	"1"	"140"	"FAM135B"	"hipc_gene_dir_23658707_140.txt"	"hipc_gene_dir_complete_23658707_140.txt"
""	"hipc_gene_dir_23658707"	"2013.05"	"hipc_gene_dir_22"	"peripheral blood mononuclear cell"	"PPP1R14C"	"gene expression"	"up"	"none"	"3 to 7"	"Years"	"rubella virus vaccine strain RA27/3"	""	"M-M-R II"	"VO_0000069"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"children (13-16)"	"23658707"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23658707"	"children"	"13"	"16"	"years"	"1"	"140"	"PPP1R14C"	"hipc_gene_dir_23658707_140.txt"	"hipc_gene_dir_complete_23658707_140.txt"
