""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Fischer et al. (2018) Dynamic changes of circulating miRNAs induced by the Ebola virus vaccine VSV-EBOV. Vaccine PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=30244872' target='_blank'>30244872</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_dir_30244872"	"2018.11"	"hipc_gene_dir_54"	"blood plasma"	"MIR146A"	"gene expression"	"down"	"low dose"	"1"	"day"	"ebola virus"	""	"rVSV-EBOV"	"VO_0004660"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"30244872"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30244872"	"adults"	"18"	"55"	"years"	"1"	"409"	"MIR146A"	"hipc_gene_dir_30244872_409.txt"	"hipc_gene_dir_complete_30244872_409.txt"
""	"hipc_gene_dir_30244872"	"2018.11"	"hipc_gene_dir_54"	"blood plasma"	"MIR199A1"	"gene expression"	"down"	"low dose"	"3"	"days"	"ebola virus"	""	"rVSV-EBOV"	"VO_0004660"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"30244872"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30244872"	"adults"	"18"	"55"	"years"	"2"	"410"	"MIR199A1"	"hipc_gene_dir_30244872_410.txt"	"hipc_gene_dir_complete_30244872_410.txt"
""	"hipc_gene_dir_30244872"	"2018.11"	"hipc_gene_dir_54"	"blood plasma"	"MIR146A"	"gene expression"	"down"	"high dose"	"1"	"day"	"ebola virus"	""	"rVSV-EBOV"	"VO_0004660"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"30244872"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30244872"	"adults"	"18"	"55"	"years"	"3"	"411"	"MIR146A"	"hipc_gene_dir_30244872_411.txt"	"hipc_gene_dir_complete_30244872_411.txt"
""	"hipc_gene_dir_30244872"	"2018.11"	"hipc_gene_dir_54"	"blood plasma"	"MIR484"	"gene expression"	"down"	"high dose"	"1"	"day"	"ebola virus"	""	"rVSV-EBOV"	"VO_0004660"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"30244872"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30244872"	"adults"	"18"	"55"	"years"	"3"	"411"	"MIR484"	"hipc_gene_dir_30244872_411.txt"	"hipc_gene_dir_complete_30244872_411.txt"
