""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Matsumiya et al. (2013) Roles for Treg expansion and HMGB1 signaling through the TLR1-2-6 axis in determining the magnitude of the antigen-specific immune response to MVA85A. PLoS ONE PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129' target='_blank'>23844129</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_dir_23844129"	"2013.07"	"hipc_gene_dir_11"	"peripheral blood mononuclear cell"	"BST2"	"gene expression"	"up"	"none"	"2"	"Days"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"2d-0d"	"time of vaccination (first dose)"	"adult (18-55)"	"23844129"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/23844129"	"adults"	"18"	"55"	"years"	"1"	"76"	"BST2"	"hipc_gene_dir_23844129_76.txt"	"hipc_gene_dir_complete_23844129_76.txt"
""	"hipc_gene_dir_23844129"	"2013.07"	"hipc_gene_dir_11"	"peripheral blood mononuclear cell"	"EIF2AK2"	"gene expression"	"up"	"none"	"2"	"Days"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"2d-0d"	"time of vaccination (first dose)"	"adult (18-55)"	"23844129"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/23844129"	"adults"	"18"	"55"	"years"	"1"	"76"	"EIF2AK2"	"hipc_gene_dir_23844129_76.txt"	"hipc_gene_dir_complete_23844129_76.txt"
""	"hipc_gene_dir_23844129"	"2013.07"	"hipc_gene_dir_11"	"peripheral blood mononuclear cell"	"IFIH1"	"gene expression"	"up"	"none"	"2"	"Days"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"2d-0d"	"time of vaccination (first dose)"	"adult (18-55)"	"23844129"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/23844129"	"adults"	"18"	"55"	"years"	"1"	"76"	"IFIH1"	"hipc_gene_dir_23844129_76.txt"	"hipc_gene_dir_complete_23844129_76.txt"
""	"hipc_gene_dir_23844129"	"2013.07"	"hipc_gene_dir_11"	"peripheral blood mononuclear cell"	"IRF9"	"gene expression"	"up"	"none"	"2"	"Days"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"2d-0d"	"time of vaccination (first dose)"	"adult (18-55)"	"23844129"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/23844129"	"adults"	"18"	"55"	"years"	"1"	"76"	"IRF9"	"hipc_gene_dir_23844129_76.txt"	"hipc_gene_dir_complete_23844129_76.txt"
