""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"van den Biggelaar et al. (2011) Pneumococcal conjugate vaccination at birth in a high-risk setting: no evidence for neonatal T-cell tolerance. Vaccine PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21645573' target='_blank'>21645573</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_dir_21645573"	"2011.07"	"hipc_gene_dir_25"	"peripheral blood mononuclear cell"	"CD274"	"gene expression"	"up"	"none"	"9"	"Months"	"streptococcus pneumoniae"	""	"Prevnar (USA)"	"VO_0000090"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"infants (9m)"	"21645573"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21645573"	"infants"	"9"	"9"	"months"	"1"	"160"	"CD274"	"hipc_gene_dir_21645573_160.txt"	"hipc_gene_dir_complete_21645573_160.txt"
""	"hipc_gene_dir_21645573"	"2011.07"	"hipc_gene_dir_25"	"peripheral blood mononuclear cell"	"CISH"	"gene expression"	"up"	"none"	"9"	"Months"	"streptococcus pneumoniae"	""	"Prevnar (USA)"	"VO_0000090"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"infants (9m)"	"21645573"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21645573"	"infants"	"9"	"9"	"months"	"1"	"160"	"CISH"	"hipc_gene_dir_21645573_160.txt"	"hipc_gene_dir_complete_21645573_160.txt"
""	"hipc_gene_dir_21645573"	"2011.07"	"hipc_gene_dir_25"	"peripheral blood mononuclear cell"	"CSF2"	"gene expression"	"up"	"none"	"9"	"Months"	"streptococcus pneumoniae"	""	"Prevnar (USA)"	"VO_0000090"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"infants (9m)"	"21645573"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21645573"	"infants"	"9"	"9"	"months"	"1"	"160"	"CSF2"	"hipc_gene_dir_21645573_160.txt"	"hipc_gene_dir_complete_21645573_160.txt"
""	"hipc_gene_dir_21645573"	"2011.07"	"hipc_gene_dir_25"	"peripheral blood mononuclear cell"	"CTSW"	"gene expression"	"up"	"none"	"9"	"Months"	"streptococcus pneumoniae"	""	"Prevnar (USA)"	"VO_0000090"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"infants (9m)"	"21645573"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21645573"	"infants"	"9"	"9"	"months"	"1"	"160"	"CTSW"	"hipc_gene_dir_21645573_160.txt"	"hipc_gene_dir_complete_21645573_160.txt"
