""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Rechtien et al. (2017) Systems Vaccinology Identifies an Early Innate Immune Signature as a Correlate of Antibody Responses to the Ebola Vaccine rVSV-ZEBOV. Cell Rep PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28854372' target='_blank'>28854372</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_dir_28854372"	"2017.08"	"hipc_gene_dir_4"	"peripheral blood mononuclear cell"	"CCL2"	"gene expression"	"up"	"none"	"1"	"Day"	"ebola virus"	""	"rVSV-ZEBOV"	"VO_0003155"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"28854372"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28854372"	"adults"	"18"	"55"	"years"	"1"	"42"	"CCL2"	"hipc_gene_dir_28854372_42.txt"	"hipc_gene_dir_complete_28854372_42.txt"
""	"hipc_gene_dir_28854372"	"2017.08"	"hipc_gene_dir_4"	"peripheral blood mononuclear cell"	"LAMP3"	"gene expression"	"up"	"none"	"1"	"Day"	"ebola virus"	""	"rVSV-ZEBOV"	"VO_0003155"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"28854372"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28854372"	"adults"	"18"	"55"	"years"	"1"	"42"	"LAMP3"	"hipc_gene_dir_28854372_42.txt"	"hipc_gene_dir_complete_28854372_42.txt"
""	"hipc_gene_dir_28854372"	"2017.08"	"hipc_gene_dir_4"	"peripheral blood mononuclear cell"	"CXCL10"	"gene expression"	"up"	"none"	"1"	"Day"	"ebola virus"	""	"rVSV-ZEBOV"	"VO_0003155"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"28854372"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28854372"	"adults"	"18"	"55"	"years"	"1"	"42"	"CXCL10"	"hipc_gene_dir_28854372_42.txt"	"hipc_gene_dir_complete_28854372_42.txt"
""	"hipc_gene_dir_28854372"	"2017.08"	"hipc_gene_dir_4"	"peripheral blood mononuclear cell"	"RSAD2"	"gene expression"	"up"	"none"	"1"	"Day"	"ebola virus"	""	"rVSV-ZEBOV"	"VO_0003155"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"28854372"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28854372"	"adults"	"18"	"55"	"years"	"1"	"42"	"RSAD2"	"hipc_gene_dir_28854372_42.txt"	"hipc_gene_dir_complete_28854372_42.txt"
