""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Dhiman et al. (2005) Immune activation at effector and gene expression levels after measles vaccination in healthy individuals: a pilot study. Hum. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=16571413' target='_blank'>16571413</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_dir_16571413"	"2005.11"	"hipc_gene_dir_58"	"peripheral blood mononuclear cell"	"SGK1"	"gene expression"	"up"	"none"	"7 or 14"	"days"	"measles morbillivirus"	""	"Attenuvax"	"VO_0000007"	""	"7d or 14d vs 0d"	"time of vaccination (first dose)"	"adults (15-25)"	"16571413"	"2005"	""	""	"https://www.sciencedirect.com/science/article/pii/S0198885905004246?via%3Dihub"	"children, adults"	"15"	"25"	"years"	"1"	"446"	"Y10032"	"hipc_gene_dir_16571413_446.txt"	"hipc_gene_dir_complete_16571413_446.txt"
""	"hipc_gene_dir_16571413"	"2005.11"	"hipc_gene_dir_58"	"peripheral blood mononuclear cell"	"RYR2"	"gene expression"	"up"	"none"	"7 or 14"	"days"	"measles morbillivirus"	""	"Attenuvax"	"VO_0000007"	""	"7d or 14d vs 0d"	"time of vaccination (first dose)"	"adults (15-25)"	"16571413"	"2005"	""	""	"https://www.sciencedirect.com/science/article/pii/S0198885905004246?via%3Dihub"	"children, adults"	"15"	"25"	"years"	"1"	"446"	"X98330"	"hipc_gene_dir_16571413_446.txt"	"hipc_gene_dir_complete_16571413_446.txt"
""	"hipc_gene_dir_16571413"	"2005.11"	"hipc_gene_dir_58"	"peripheral blood mononuclear cell"	"RPGRIP1L"	"gene expression"	"up"	"none"	"7 or 14"	"days"	"measles morbillivirus"	""	"Attenuvax"	"VO_0000007"	""	"7d or 14d vs 0d"	"time of vaccination (first dose)"	"adults (15-25)"	"16571413"	"2005"	""	""	"https://www.sciencedirect.com/science/article/pii/S0198885905004246?via%3Dihub"	"children, adults"	"15"	"25"	"years"	"1"	"446"	"AB023222"	"hipc_gene_dir_16571413_446.txt"	"hipc_gene_dir_complete_16571413_446.txt"
""	"hipc_gene_dir_16571413"	"2005.11"	"hipc_gene_dir_58"	"peripheral blood mononuclear cell"	"ADAM9"	"gene expression"	"up"	"none"	"7 or 14"	"days"	"measles morbillivirus"	""	"Attenuvax"	"VO_0000007"	""	"7d or 14d vs 0d"	"time of vaccination (first dose)"	"adults (15-25)"	"16571413"	"2005"	""	""	"https://www.sciencedirect.com/science/article/pii/S0198885905004246?via%3Dihub"	"children, adults"	"15"	"25"	"years"	"1"	"446"	"U41766"	"hipc_gene_dir_16571413_446.txt"	"hipc_gene_dir_complete_16571413_446.txt"
