""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component_original"	"response_component"	"cell_ontology_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_comp_cnt"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"observed"	"background"	"background"	"background"	"reference"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (original)"	"response component (cell subset)"	"cell ontology ID"	"cell type PRO and extra terms"	"protein ontology ID"	"all response components in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"target pathogen"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"signature source url"	"comments and additional details"	"Giarola-Silva et al. (2017) Distinct patterns of cellular immune response elicited by influenza non-adjuvanted and AS03-adjuvanted monovalent H1N1(pdm09) vaccine. Antiviral Res PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28549970' target='_blank'>28549970</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"response component count"	"signature response component (cell types) file"
""	"hipc_ctf_28549970_18"	"2017.08"	"hipc_ctf_28549970_18"	"blood"	"T cells CD54+CD4+"	"CD4-positive, alpha-beta T cell"	"CL_0000624"	"& CD54+"	"PR:000001467"	"CD4-positive, alpha-beta T cell & CD54+"	"cell type frequency"	"down"	"none"	"30"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	"VO_0000410"	""	"30d-0d"	"adults (21-51)"	"28549970"	"2017"	""	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"18"	"195"	"4"	"hipc_ctf_sig_28549970_18.txt"
""	"hipc_ctf_28549970_18"	"2017.08"	"hipc_ctf_28549970_18"	"blood"	"T cells CCR3+CD4+"	"CD4-positive, alpha-beta T cell"	"CL_0000624"	"& CCR3+"	"PR:000001255"	"CD4-positive, alpha-beta T cell & CCR3+"	"cell type frequency"	"down"	"none"	"30"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	"VO_0000410"	""	"30d-0d"	"adults (21-51)"	"28549970"	"2017"	""	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"18"	"195"	"4"	"hipc_ctf_sig_28549970_18.txt"
""	"hipc_ctf_28549970_18"	"2017.08"	"hipc_ctf_28549970_18"	"blood"	"T cells CXCR4+CD4+"	"CD4-positive, alpha-beta T cell"	"CL_0000624"	"& CXCR4+"	"PR:000001208"	"CD4-positive, alpha-beta T cell & CXCR4+"	"cell type frequency"	"down"	"none"	"30"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	"VO_0000410"	""	"30d-0d"	"adults (21-51)"	"28549970"	"2017"	""	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"18"	"195"	"4"	"hipc_ctf_sig_28549970_18.txt"
""	"hipc_ctf_28549970_18"	"2017.08"	"hipc_ctf_28549970_18"	"blood"	"T cells CD54+CD8+"	"CD8-positive, alpha-beta T cell"	"CL_0000625"	"& CD54+"	"PR:000001467"	"CD8-positive, alpha-beta T cell & CD54+"	"cell type frequency"	"down"	"none"	"30"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	"VO_0000410"	""	"30d-0d"	"adults (21-51)"	"28549970"	"2017"	""	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"18"	"195"	"4"	"hipc_ctf_sig_28549970_18.txt"
