""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component_original"	"response_component"	"cell_ontology_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_comp_cnt"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"observed"	"background"	"background"	"background"	"reference"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (original)"	"response component (cell subset)"	"cell ontology ID"	"cell type PRO and extra terms"	"protein ontology ID"	"all response components in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"target pathogen"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"signature source url"	"comments and additional details"	"Hou et al. (2017) A Systems Vaccinology Approach Reveals Temporal Transcriptomic Changes of Immune Responses to the Yellow Fever 17D Vaccine. J Immunol PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661' target='_blank'>28687661</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"response component count"	"signature response component (cell types) file"
""	"hipc_ctf_28687661_6"	"2017.08"	"hipc_ctf_28687661_6"	"peripheral blood mononuclear cell"	"DC (NK-/CD123)"	"dendritic cell"	"CL_0000451"	"& CD123+, NK-"	"PR:000001865"	"dendritic cell & CD123+, NK-"	"cell type frequency"	"up"	"none"	"26"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"26d-0d"	"adults (25-42)"	"28687661"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"6"	"41"	"5"	"hipc_ctf_sig_28687661_6.txt"
""	"hipc_ctf_28687661_6"	"2017.08"	"hipc_ctf_28687661_6"	"peripheral blood mononuclear cell"	"B cells CD3-/CD19+CD20+"	"B cell"	"CL_0000236"	"& CD3 epsilon-"	"PR:000001020"	"B cell & CD3 epsilon-"	"cell type frequency"	"up"	"none"	"26"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"26d-0d"	"adults (25-42)"	"28687661"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"6"	"41"	"5"	"hipc_ctf_sig_28687661_6.txt"
""	"hipc_ctf_28687661_6"	"2017.08"	"hipc_ctf_28687661_6"	"peripheral blood mononuclear cell"	"B cells CD3-/CD19+CD20+/IgD-IgM+/CD27+"	"IgM memory B cell"	"CL_0000971"	"& CD3 epsilon-, CD27+"	"PR:000001020, PR:000001963"	"IgM memory B cell & CD3 epsilon-, CD27+"	"cell type frequency"	"up"	"none"	"26"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"26d-0d"	"adults (25-42)"	"28687661"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"6"	"41"	"5"	"hipc_ctf_sig_28687661_6.txt"
""	"hipc_ctf_28687661_6"	"2017.08"	"hipc_ctf_28687661_6"	"peripheral blood mononuclear cell"	"B cells CD3-/CD19+CD20+/IgD-IgM-/CD27+"	"IgD-negative memory B cell"	"CL_0001053"	"& CD3 epsilon-, CD27+, IgM-"	"PR:000001020, PR:000001963"	"IgD-negative memory B cell & CD3 epsilon-, CD27+, IgM-"	"cell type frequency"	"up"	"none"	"26"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"26d-0d"	"adults (25-42)"	"28687661"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"6"	"41"	"5"	"hipc_ctf_sig_28687661_6.txt"
