""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component_original"	"response_component"	"cell_ontology_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (original)"	"response component (cell subset)"	"cell ontology ID"	"cell type PRO and extra terms"	"protein ontology ID"	"all response components in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"target pathogen"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Scherer et al. (2007) Distinct gene expression profiles in peripheral blood mononuclear cells from patients infected with vaccinia virus, yellow fever 17D virus, or upper respiratory infections. Vaccine PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872' target='_blank'>17651872</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"signature response component file"
""	"hipc_ctf_17651872_1"	"2007.08"	"hipc_ctf_17651872_1"	"peripheral blood mononuclear cell"	"red blood cell"	"erythrocyte"	"CL_0000232"	""	""	"erythrocyte"	"cell type frequency"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-VAX"	"VO_0000121"	""	"7d-0d"	"adults (18-40)"	"17651872"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"	"adults"	"18"	"40"	"years"	"1"	"62"	"hipc_ctf_sig_17651872_1.txt"
""	"hipc_ctf_17651872_1"	"2007.08"	"hipc_ctf_17651872_1"	"peripheral blood mononuclear cell"	"white blood cell"	"leukocyte"	"CL_0000738"	""	""	"leukocyte"	"cell type frequency"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-VAX"	"VO_0000121"	""	"7d-0d"	"adults (18-40)"	"17651872"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"	"adults"	"18"	"40"	"years"	"1"	"62"	"hipc_ctf_sig_17651872_1.txt"
""	"hipc_ctf_17651872_1"	"2007.08"	"hipc_ctf_17651872_1"	"peripheral blood mononuclear cell"	"neutrophil"	"neutrophil"	"CL_0000775"	""	""	"neutrophil"	"cell type frequency"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-VAX"	"VO_0000121"	""	"7d-0d"	"adults (18-40)"	"17651872"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"	"adults"	"18"	"40"	"years"	"1"	"62"	"hipc_ctf_sig_17651872_1.txt"
""	"hipc_ctf_17651872_1"	"2007.08"	"hipc_ctf_17651872_1"	"peripheral blood mononuclear cell"	"lymphocyte"	"lymphocyte"	"CL_0000542"	""	""	"lymphocyte"	"cell type frequency"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-VAX"	"VO_0000121"	""	"7d-0d"	"adults (18-40)"	"17651872"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"	"adults"	"18"	"40"	"years"	"1"	"62"	"hipc_ctf_sig_17651872_1.txt"
""	"hipc_ctf_17651872_1"	"2007.08"	"hipc_ctf_17651872_1"	"peripheral blood mononuclear cell"	"eosinophil"	"eosinophil"	"CL_0000771"	""	""	"eosinophil"	"cell type frequency"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-VAX"	"VO_0000121"	""	"7d-0d"	"adults (18-40)"	"17651872"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"	"adults"	"18"	"40"	"years"	"1"	"62"	"hipc_ctf_sig_17651872_1.txt"
