""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component_original"	"response_component"	"cell_ontology_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (original)"	"response component (cell subset)"	"cell ontology ID"	"cell type PRO and extra terms"	"protein ontology ID"	"all response components in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"target pathogen"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Zak et al. (2012) Merck Ad5/HIV induces broad innate immune activation that predicts CD8⁺ T-cell responses but is attenuated by preexisting Ad5 immunity. Proc. Natl. Acad. Sci. U.S.A. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505' target='_blank'>23151505</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"signature response component file"
""	"hipc_ctf_23151505_1"	"2012.12"	"hipc_ctf_23151505_1"	"peripheral blood mononuclear cell"	"B cell"	"B cell"	"CL_0000236"	""	""	"B cell"	"cell type frequency"	"up"	"none"	"1"	"Days"	"time of vaccination (first dose)"	"human immunodeficiency virus 1"	""	"MRKAd5/HIV"	"VO_0003133"	""	"1d-0d"	"adults (20-50)"	"23151505"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505"	"adults"	"20"	"50"	"years"	"1"	"28"	"hipc_ctf_sig_23151505_1.txt"
""	"hipc_ctf_23151505_1"	"2012.12"	"hipc_ctf_23151505_1"	"peripheral blood mononuclear cell"	"CD14-positive, CD16-negative classical monocyte"	"CD14-positive, CD16-negative classical monocyte"	"CL_0002057"	""	""	"CD14-positive, CD16-negative classical monocyte"	"cell type frequency"	"up"	"none"	"1"	"Days"	"time of vaccination (first dose)"	"human immunodeficiency virus 1"	""	"MRKAd5/HIV"	"VO_0003133"	""	"1d-0d"	"adults (20-50)"	"23151505"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505"	"adults"	"20"	"50"	"years"	"1"	"28"	"hipc_ctf_sig_23151505_1.txt"
""	"hipc_ctf_23151505_1"	"2012.12"	"hipc_ctf_23151505_1"	"peripheral blood mononuclear cell"	"CD4-positive, alpha-beta T cell"	"CD4-positive, alpha-beta T cell"	"CL_0000624"	""	""	"CD4-positive, alpha-beta T cell"	"cell type frequency"	"up"	"none"	"1"	"Days"	"time of vaccination (first dose)"	"human immunodeficiency virus 1"	""	"MRKAd5/HIV"	"VO_0003133"	""	"1d-0d"	"adults (20-50)"	"23151505"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505"	"adults"	"20"	"50"	"years"	"1"	"28"	"hipc_ctf_sig_23151505_1.txt"
""	"hipc_ctf_23151505_1"	"2012.12"	"hipc_ctf_23151505_1"	"peripheral blood mononuclear cell"	"CD16-positive, CD56-dim natural killer cell"	"CD16-positive, CD56-dim natural killer cell"	"CL_0000939"	""	""	"CD16-positive, CD56-dim natural killer cell"	"cell type frequency"	"up"	"none"	"1"	"Days"	"time of vaccination (first dose)"	"human immunodeficiency virus 1"	""	"MRKAd5/HIV"	"VO_0003133"	""	"1d-0d"	"adults (20-50)"	"23151505"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505"	"adults"	"20"	"50"	"years"	"1"	"28"	"hipc_ctf_sig_23151505_1.txt"
